"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805_2012Metric","18.9229mm","30.4804mm","18.9229mm","30.4804mm","17.9729mm","30.4804mm","T","0","10uF",
"C2","C_0805_2012Metric","23.9399mm","30.4804mm","23.9399mm","30.4804mm","24.8899mm","30.4804mm","T","180","22uF",
"C3","C_0805_2012Metric","18.2029mm","22.1824mm","18.2029mm","22.1824mm","18.2029mm","23.1324mm","T","270","22uF",
"C4","C_0805_2012Metric","18.9229mm","8.7634mm","18.9229mm","8.7634mm","17.9729mm","8.7634mm","T","0","22uF",
"C5","C_0805_2012Metric","38.9889mm","30.4804mm","38.9889mm","30.4804mm","38.0389mm","30.4804mm","T","0","0.1uF",
"C6","C_0805_2012Metric","39.7089mm","17.4414mm","39.7089mm","17.4414mm","39.7089mm","18.3914mm","T","270","0.1uF",
"C7","C_0805_2012Metric","23.9399mm","8.7634mm","23.9399mm","8.7634mm","22.9899mm","8.7634mm","T","0","0.1uF",
"C8","C_0805_2012Metric","18.2029mm","27.1784mm","18.2029mm","27.1784mm","18.2029mm","26.2284mm","T","90","0.1uF",
"C9","C_0805_2012Metric","18.2029mm","17.1874mm","18.2029mm","17.1874mm","18.2029mm","18.1374mm","T","270","0.1uF",
"C10","C_0805_2012Metric","28.9559mm","8.7634mm","28.9559mm","8.7634mm","28.0059mm","8.7634mm","T","0","0.1uF",
"C11","C_0805_2012Metric","33.9729mm","8.7634mm","33.9729mm","8.7634mm","34.9229mm","8.7634mm","T","180","0.1uF",
"C12","C_0805_2012Metric","39.7089mm","12.7004mm","39.7089mm","12.7004mm","39.7089mm","11.7504mm","T","90","22uF",
"C13","C_0805_2012Metric","39.7089mm","26.9244mm","39.7089mm","26.9244mm","39.7089mm","25.9744mm","T","90","0.1uF",
"C14","C_0805_2012Metric","39.7089mm","22.1824mm","39.7089mm","22.1824mm","39.7089mm","21.2324mm","T","90","0.1uF",
"C15","C_0805_2012Metric","38.9889mm","8.7634mm","38.9889mm","8.7634mm","38.0389mm","8.7634mm","T","0","0.1uF",
"C16","C_0805_2012Metric","28.9559mm","30.4804mm","28.9559mm","30.4804mm","28.0059mm","30.4804mm","T","0","0.1uF",
"C17","C_0805_2012Metric","18.2029mm","12.1924mm","18.2029mm","12.1924mm","18.2029mm","11.2424mm","T","90","0.1uF",
"C18","C_0805_2012Metric","33.9729mm","30.4804mm","33.9729mm","30.4804mm","33.0229mm","30.4804mm","T","0","0.1uF",
"C19","C_0805_2012Metric","11.9459mm","36.3824mm","11.9459mm","36.3824mm","12.8959mm","36.3824mm","T","180","10uF",
"C20","C_0805_2012Metric","11.9379mm","34.29mm","11.9379mm","34.29mm","10.9879mm","34.29mm","T","0","10uF",
"C21","C_0805_2012Metric","20.8279mm","58.166mm","20.8279mm","58.166mm","21.7779mm","58.166mm","T","180","10uF",
"C22","C_0805_2012Metric","8.2549mm","54.356mm","8.2549mm","54.356mm","8.2549mm","53.406mm","T","90","10uF",
"C23","C_0805_2012Metric","8.0009mm","65.532mm","8.0009mm","65.532mm","8.0009mm","64.582mm","T","90","10uF",
"C24","C_0805_2012Metric","8.2549mm","58.166mm","8.2549mm","58.166mm","8.2549mm","57.216mm","T","90","10uF",
"C25","C_0805_2012Metric","8.0009mm","69.3293mm","8.0009mm","69.3293mm","8.0009mm","68.3793mm","T","90","10uF",
"D1","LED_0805_2012Metric","3.0859mm","75.819mm","3.0859mm","75.819mm","4.0234mm","75.819mm","T","180","LED",
"R1","R_0805_2012Metric","34.0359mm","50.292mm","34.0359mm","50.292mm","34.9484mm","50.292mm","T","180","33k",
"R2","R_0805_2012Metric","34.0359mm","52.832mm","34.0359mm","52.832mm","34.9484mm","52.832mm","T","180","33k",
