"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"10uF","desc","C1,C19,C20,C21,C22,C23,C24,C25,","C_0805_2012Metric","libref","2","8","","",
"22uF","desc","C2,C3,C4,C12,","C_0805_2012Metric","libref","2","4","","",
"0.1uF","desc","C5,C6,C7,C8,C9,C10,C11,C13,C14,C15,C16,C17,C18,","C_0805_2012Metric","libref","2","13","","",
"LED","desc","D1,","LED_0805_2012Metric","libref","2","1","","",
"33k","desc","R1,R2,R3,R7,R8,R9,R10,R11,","R_0805_2012Metric","libref","2","8","","",
"10k","desc","R4,R5,R6,R12,R13,R14,","R_0805_2012Metric","libref","2","6","","",
"1k","desc","R15,R26,","R_0805_2012Metric","libref","2","2","","",
"330R","desc","R16,R24,R25,","R_0805_2012Metric","libref","2","3","","",
"0R","desc","R17,R18,R19,R20,R21,R22,R23,","R_0805_2012Metric","libref","2","7","","",
"24LC02","desc","U1,","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","libref","13","1","","",
"TFP401PZP","desc","U2,","QFP50P1600X1600X120-101N","libref","101","1","","",
"AMS1117-3.3","desc","U3,U4,","SOT-223-3_TabPin2","libref","4","2","","",
"STM32F103RBTx","desc","U5,","LQFP-64_10x10mm_P0.5mm","libref","64","1","","",
"Crystal 8M","desc","Y1,","Crystal_SMD_HC49-SD","libref","2","1","","",
"SW_DIP_x08","desc","SW1,","SW_DIP_SPSTx08_Slide_9.78x22.5mm_W8.61mm_P2.54mm","libref","16","1","","",
"SW_Push","desc","USER1,RESET,","SW_SPST_CK_KXT3","libref","2","2","","",
"LED_Purple","desc","LED_3V3_1,LED_3V3_2,","LED_0805_2012Metric","libref","2","2","","",
"Through Hole Items ",
"HDMI_A","desc","J1,","TE_1827059-3","libref","25","1","","",
"Conn_01x03_Male","desc","J2,","PinHeader_1x03_P2.54mm_Vertical","libref","3","1","","",
"Conn_02x08_Odd_Even","desc","J3,","PinHeader_2x08_P2.54mm_Vertical","libref","16","1","","",
"Conn_02x07_Odd_Even","desc","J4,","PinHeader_2x07_P2.54mm_Vertical","libref","14","1","","",
"Conn_01x04","desc","J5,J8,","PinHeader_1x04_P2.54mm_Vertical","libref","4","2","","",
"Conn_01x08","desc","J6,J9,","PinHeader_1x08_P2.54mm_Vertical","libref","8","2","","",
"CQ-USB-C16PSMT01","desc","J7,","SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01","libref","18","1","","",
"BeagleBone_Black_Header","desc","P1,P2,","Socket_BeagleBone_Black","libref","46","2","","",
